english,korean,kind,category_slug,category_kr,item_slug,poe2db_us,poe2db_kr
Adaptive Alloy,적응형 합금,currency,Essence,Essence,Adaptive_Alloy,https://poe2db.tw/us/Adaptive_Alloy,https://poe2db.tw/kr/Adaptive_Alloy
Celestial Alloy,천공의 합금,currency,Essence,Essence,Celestial_Alloy,https://poe2db.tw/us/Celestial_Alloy,https://poe2db.tw/kr/Celestial_Alloy
Cyclonic Alloy,회오리바람 합금,currency,Essence,Essence,Cyclonic_Alloy,https://poe2db.tw/us/Cyclonic_Alloy,https://poe2db.tw/kr/Cyclonic_Alloy
Essence of Abrasion,마모의 에센스,currency,Essence,Essence,Essence_of_Abrasion,https://poe2db.tw/us/Essence_of_Abrasion,https://poe2db.tw/kr/Essence_of_Abrasion
Essence of Alacrity,기민성의 에센스,currency,Essence,Essence,Essence_of_Alacrity,https://poe2db.tw/us/Essence_of_Alacrity,https://poe2db.tw/kr/Essence_of_Alacrity
Essence of Battle,전투의 에센스,currency,Essence,Essence,Essence_of_Battle,https://poe2db.tw/us/Essence_of_Battle,https://poe2db.tw/kr/Essence_of_Battle
Essence of Command,지휘의 에센스,currency,Essence,Essence,Essence_of_Command,https://poe2db.tw/us/Essence_of_Command,https://poe2db.tw/kr/Essence_of_Command
Essence of Delirium,섬망의 에센스,currency,Essence,Essence,Essence_of_Delirium,https://poe2db.tw/us/Essence_of_Delirium,https://poe2db.tw/kr/Essence_of_Delirium
Essence of Electricity,전기의 에센스,currency,Essence,Essence,Essence_of_Electricity,https://poe2db.tw/us/Essence_of_Electricity,https://poe2db.tw/kr/Essence_of_Electricity
Essence of Enhancement,강화의 에센스,currency,Essence,Essence,Essence_of_Enhancement,https://poe2db.tw/us/Essence_of_Enhancement,https://poe2db.tw/kr/Essence_of_Enhancement
Essence of Flames,화염의 에센스,currency,Essence,Essence,Essence_of_Flames,https://poe2db.tw/us/Essence_of_Flames,https://poe2db.tw/kr/Essence_of_Flames
Essence of Grounding,접지의 에센스,currency,Essence,Essence,Essence_of_Grounding,https://poe2db.tw/us/Essence_of_Grounding,https://poe2db.tw/kr/Essence_of_Grounding
Essence of Haste,가속의 에센스,currency,Essence,Essence,Essence_of_Haste,https://poe2db.tw/us/Essence_of_Haste,https://poe2db.tw/kr/Essence_of_Haste
Essence of Horror,경악의 에센스,currency,Essence,Essence,Essence_of_Horror,https://poe2db.tw/us/Essence_of_Horror,https://poe2db.tw/kr/Essence_of_Horror
Essence of Hysteria,발작의 에센스,currency,Essence,Essence,Essence_of_Hysteria,https://poe2db.tw/us/Essence_of_Hysteria,https://poe2db.tw/kr/Essence_of_Hysteria
Essence of Ice,얼음의 에센스,currency,Essence,Essence,Essence_of_Ice,https://poe2db.tw/us/Essence_of_Ice,https://poe2db.tw/kr/Essence_of_Ice
Essence of Insanity,광기의 에센스,currency,Essence,Essence,Essence_of_Insanity,https://poe2db.tw/us/Essence_of_Insanity,https://poe2db.tw/kr/Essence_of_Insanity
Essence of Insulation,절연의 에센스,currency,Essence,Essence,Essence_of_Insulation,https://poe2db.tw/us/Essence_of_Insulation,https://poe2db.tw/kr/Essence_of_Insulation
Essence of Opulence,풍요의 에센스,currency,Essence,Essence,Essence_of_Opulence,https://poe2db.tw/us/Essence_of_Opulence,https://poe2db.tw/kr/Essence_of_Opulence
Essence of Ruin,폐허의 에센스,currency,Essence,Essence,Essence_of_Ruin,https://poe2db.tw/us/Essence_of_Ruin,https://poe2db.tw/kr/Essence_of_Ruin
Essence of Seeking,추구의 에센스,currency,Essence,Essence,Essence_of_Seeking,https://poe2db.tw/us/Essence_of_Seeking,https://poe2db.tw/kr/Essence_of_Seeking
Essence of Sorcery,마술의 에센스,currency,Essence,Essence,Essence_of_Sorcery,https://poe2db.tw/us/Essence_of_Sorcery,https://poe2db.tw/kr/Essence_of_Sorcery
Essence of Thawing,해동의 에센스,currency,Essence,Essence,Essence_of_Thawing,https://poe2db.tw/us/Essence_of_Thawing,https://poe2db.tw/kr/Essence_of_Thawing
Essence of the Abyss,심연의 에센스,currency,Essence,Essence,Essence_of_the_Abyss,https://poe2db.tw/us/Essence_of_the_Abyss,https://poe2db.tw/kr/Essence_of_the_Abyss
Essence of the Body,육신의 에센스,currency,Essence,Essence,Essence_of_the_Body,https://poe2db.tw/us/Essence_of_the_Body,https://poe2db.tw/kr/Essence_of_the_Body
Essence of the Breach,균열의 에센스,currency,Essence,Essence,Essence_of_the_Breach,https://poe2db.tw/us/Essence_of_the_Breach,https://poe2db.tw/kr/Essence_of_the_Breach
Essence of the Infinite,무한의 에센스,currency,Essence,Essence,Essence_of_the_Infinite,https://poe2db.tw/us/Essence_of_the_Infinite,https://poe2db.tw/kr/Essence_of_the_Infinite
Essence of the Mind,정신의 에센스,currency,Essence,Essence,Essence_of_the_Mind,https://poe2db.tw/us/Essence_of_the_Mind,https://poe2db.tw/kr/Essence_of_the_Mind
Expansive Alloy,팽창하는 합금,currency,Essence,Essence,Expansive_Alloy,https://poe2db.tw/us/Expansive_Alloy,https://poe2db.tw/kr/Expansive_Alloy
Greater Essence of Abrasion,상위 마모의 에센스,currency,Essence,Essence,Greater_Essence_of_Abrasion,https://poe2db.tw/us/Greater_Essence_of_Abrasion,https://poe2db.tw/kr/Greater_Essence_of_Abrasion
Greater Essence of Alacrity,상위 기민성의 에센스,currency,Essence,Essence,Greater_Essence_of_Alacrity,https://poe2db.tw/us/Greater_Essence_of_Alacrity,https://poe2db.tw/kr/Greater_Essence_of_Alacrity
Greater Essence of Battle,상위 전투의 에센스,currency,Essence,Essence,Greater_Essence_of_Battle,https://poe2db.tw/us/Greater_Essence_of_Battle,https://poe2db.tw/kr/Greater_Essence_of_Battle
Greater Essence of Command,상위 지휘의 에센스,currency,Essence,Essence,Greater_Essence_of_Command,https://poe2db.tw/us/Greater_Essence_of_Command,https://poe2db.tw/kr/Greater_Essence_of_Command
Greater Essence of Electricity,상위 전기의 에센스,currency,Essence,Essence,Greater_Essence_of_Electricity,https://poe2db.tw/us/Greater_Essence_of_Electricity,https://poe2db.tw/kr/Greater_Essence_of_Electricity
Greater Essence of Enhancement,상위 강화의 에센스,currency,Essence,Essence,Greater_Essence_of_Enhancement,https://poe2db.tw/us/Greater_Essence_of_Enhancement,https://poe2db.tw/kr/Greater_Essence_of_Enhancement
Greater Essence of Flames,상위 화염의 에센스,currency,Essence,Essence,Greater_Essence_of_Flames,https://poe2db.tw/us/Greater_Essence_of_Flames,https://poe2db.tw/kr/Greater_Essence_of_Flames
Greater Essence of Grounding,상위 접지의 에센스,currency,Essence,Essence,Greater_Essence_of_Grounding,https://poe2db.tw/us/Greater_Essence_of_Grounding,https://poe2db.tw/kr/Greater_Essence_of_Grounding
Greater Essence of Haste,상위 가속의 에센스,currency,Essence,Essence,Greater_Essence_of_Haste,https://poe2db.tw/us/Greater_Essence_of_Haste,https://poe2db.tw/kr/Greater_Essence_of_Haste
Greater Essence of Ice,상위 얼음의 에센스,currency,Essence,Essence,Greater_Essence_of_Ice,https://poe2db.tw/us/Greater_Essence_of_Ice,https://poe2db.tw/kr/Greater_Essence_of_Ice
Greater Essence of Insulation,상위 절연의 에센스,currency,Essence,Essence,Greater_Essence_of_Insulation,https://poe2db.tw/us/Greater_Essence_of_Insulation,https://poe2db.tw/kr/Greater_Essence_of_Insulation
Greater Essence of Opulence,상위 풍요의 에센스,currency,Essence,Essence,Greater_Essence_of_Opulence,https://poe2db.tw/us/Greater_Essence_of_Opulence,https://poe2db.tw/kr/Greater_Essence_of_Opulence
Greater Essence of Ruin,상위 폐허의 에센스,currency,Essence,Essence,Greater_Essence_of_Ruin,https://poe2db.tw/us/Greater_Essence_of_Ruin,https://poe2db.tw/kr/Greater_Essence_of_Ruin
Greater Essence of Seeking,상위 추구의 에센스,currency,Essence,Essence,Greater_Essence_of_Seeking,https://poe2db.tw/us/Greater_Essence_of_Seeking,https://poe2db.tw/kr/Greater_Essence_of_Seeking
Greater Essence of Sorcery,상위 마술의 에센스,currency,Essence,Essence,Greater_Essence_of_Sorcery,https://poe2db.tw/us/Greater_Essence_of_Sorcery,https://poe2db.tw/kr/Greater_Essence_of_Sorcery
Greater Essence of Thawing,상위 해동의 에센스,currency,Essence,Essence,Greater_Essence_of_Thawing,https://poe2db.tw/us/Greater_Essence_of_Thawing,https://poe2db.tw/kr/Greater_Essence_of_Thawing
Greater Essence of the Body,상위 육신의 에센스,currency,Essence,Essence,Greater_Essence_of_the_Body,https://poe2db.tw/us/Greater_Essence_of_the_Body,https://poe2db.tw/kr/Greater_Essence_of_the_Body
Greater Essence of the Infinite,상위 무한의 에센스,currency,Essence,Essence,Greater_Essence_of_the_Infinite,https://poe2db.tw/us/Greater_Essence_of_the_Infinite,https://poe2db.tw/kr/Greater_Essence_of_the_Infinite
Greater Essence of the Mind,상위 정신의 에센스,currency,Essence,Essence,Greater_Essence_of_the_Mind,https://poe2db.tw/us/Greater_Essence_of_the_Mind,https://poe2db.tw/kr/Greater_Essence_of_the_Mind
Lesser Essence of Abrasion,하위 마모의 에센스,currency,Essence,Essence,Lesser_Essence_of_Abrasion,https://poe2db.tw/us/Lesser_Essence_of_Abrasion,https://poe2db.tw/kr/Lesser_Essence_of_Abrasion
Lesser Essence of Alacrity,하위 기민성의 에센스,currency,Essence,Essence,Lesser_Essence_of_Alacrity,https://poe2db.tw/us/Lesser_Essence_of_Alacrity,https://poe2db.tw/kr/Lesser_Essence_of_Alacrity
Lesser Essence of Battle,하위 전투의 에센스,currency,Essence,Essence,Lesser_Essence_of_Battle,https://poe2db.tw/us/Lesser_Essence_of_Battle,https://poe2db.tw/kr/Lesser_Essence_of_Battle
Lesser Essence of Command,하위 지휘의 에센스,currency,Essence,Essence,Lesser_Essence_of_Command,https://poe2db.tw/us/Lesser_Essence_of_Command,https://poe2db.tw/kr/Lesser_Essence_of_Command
Lesser Essence of Electricity,하위 전기의 에센스,currency,Essence,Essence,Lesser_Essence_of_Electricity,https://poe2db.tw/us/Lesser_Essence_of_Electricity,https://poe2db.tw/kr/Lesser_Essence_of_Electricity
Lesser Essence of Enhancement,하위 강화의 에센스,currency,Essence,Essence,Lesser_Essence_of_Enhancement,https://poe2db.tw/us/Lesser_Essence_of_Enhancement,https://poe2db.tw/kr/Lesser_Essence_of_Enhancement
Lesser Essence of Flames,하위 화염의 에센스,currency,Essence,Essence,Lesser_Essence_of_Flames,https://poe2db.tw/us/Lesser_Essence_of_Flames,https://poe2db.tw/kr/Lesser_Essence_of_Flames
Lesser Essence of Grounding,하위 접지의 에센스,currency,Essence,Essence,Lesser_Essence_of_Grounding,https://poe2db.tw/us/Lesser_Essence_of_Grounding,https://poe2db.tw/kr/Lesser_Essence_of_Grounding
Lesser Essence of Haste,하위 가속의 에센스,currency,Essence,Essence,Lesser_Essence_of_Haste,https://poe2db.tw/us/Lesser_Essence_of_Haste,https://poe2db.tw/kr/Lesser_Essence_of_Haste
